Latitude,Longitude,count
35.91346359,-79.05948638,3
35.912019,-79.061541,3
35.911655,-79.061241,3
35.920337,-79.052282,3
35.92028534,-79.05238801,3
35.934174,-79.028372,3
35.934693,-79.0281,3
35.93637,-79.02373,3
35.93341999,-79.02388602,3
35.96416171,-79.05854259,2
35.913151,-79.05575099,2
35.913151,-79.05575099,2
35.898081,-79.065681,2
35.898777,-79.064239,2
35.924738,-79.135617,2
35.924724,-79.135617,2
35.906486,-79.010899,2
35.915458,-79.055214,2
35.915465,-79.055217,2
35.912626,-79.057048,2
35.911578,-79.057039,2
35.936265,-79.023442,2
35.911611,-79.058367,2
35.91149063,-79.05793733,2
35.936119,-79.024047,2
35.913261,-79.053467,2
35.91326135,-79.05346667,2
35.929473,-79.034248,2
35.929713,-79.034568,2
35.933036,-79.032733,2
35.946506,-79.076273,2
35.946505,-79.07627,2
35.961182,-79.054787,2
35.961123,-79.054772,2
35.933266,-79.027872,2
35.93322,-79.02681,2
35.948679,-79.014557,2
35.9487381,-79.01457214,2
35.925646,-79.041987,2
35.925653,-79.04199,2
35.891814,-79.066341,2
35.890215,-79.067316,2
35.911872,-79.060716,2
35.91135803,-79.06044461,2
35.912568,-79.060286,2
35.912861,-79.060443,2
35.918049,-79.049057,2
35.917988,-79.049046,2
35.960454,-79.031605,2
35.918559,-79.055692,2
35.91855859,-79.05569215,2
35.917856,-79.044499,2
35.91719418,-79.04467741,2
35.921665,-79.054573,2
35.92172535,-79.05406053,2
35.91458,-79.05206,2
35.898613,-79.036179,2
35.89842,-79.0361,2
35.90881,-79.02708,2
35.89363,-79.05748,2
35.93035,-79.02427,2
35.90871,-79.02728,2
35.89363,-79.05748,2
35.91857,-79.039603,1
35.93254852,-79.02385711,1
35.94770879,-79.00754072,1
35.94223901,-79.01833619,1
35.90148163,-79.03274536,1
35.925059,-79.02481138,1
35.94464139,-79.01266307,1
35.95195779,-79.07551032,1
35.922592,-79.06587,1
35.96113681,-79.05760289,1
35.971117,-79.069923,1
35.906614,-79.005608,1
35.913151,-79.05575099,1
35.913151,-79.05575099,1
35.91412735,-79.05625916,1
35.93624918,-79.02338796,1
35.915253,-79.053398,1
35.93214016,-79.03572621,1
35.91171,-79.059527,1
35.91176605,-79.05953217,1
35.90098463,-79.00986577,1
35.922745,-79.051447,1
35.912637,-79.056089,1
-79.029434,35.935031,1
35.910276,-79.063203,1
35.913223,-79.055756,1
35.912644,-79.056092,1
35.929144,-79.034155,1
35.90810862,-79.00987055,1
35.89257402,-79.070522,1
35.883454,-79.060775,1
35.908014,-79.064294,1
35.89272,-79.062536,1
35.929289,-79.0291,1
35.91322757,-79.05562166,1
35.91330603,-79.05611955,1
35.90987598,-79.06421102,1
35.912593,-79.054877,1
35.913166,-79.055707,1
35.96995544,-79.06454468,1
35.905041,-79.008766,1
35.91273643,-79.05667058,1
35.945194,-78.998337,1
35.922218,-79.03841,1
35.882421,-79.061207,1
35.922063,-79.057269,1
35.91325582,-79.0555443,1
35.96121669,-79.01933514,1
35.912921,-79.056251,1
35.937999,-79.013818,1
35.91404724,-79.05654144,1
35.91613025,-79.04942537,1
35.91103298,-79.05929126,1
35.904632,-79.010444,1
35.910084,-79.064315,1
35.955165,-79.058063,1
35.914098,-79.05643,1
35.905075,-79.066437,1
35.91931,-79.060562,1
35.94384,-79.056976,1
35.95506865,-79.01811382,1
35.912522,-79.023293,1
35.93782875,-79.02946811,1
35.910484,-79.064267,1
35.947592,-79.009348,1
35.92834086,-79.03297904,1
35.913486,-79.055446,1
35.962117,-79.062474,1
35.914803,-79.052958,1
35.910675,-79.064424,1
35.95761092,-79.03902709,1
35.919676,-79.060415,1
35.910694,-79.059891,1
35.91386489,-79.05677233,1
35.942528,-79.057542,1
35.939306,-79.056866,1
35.93932098,-79.05692597,1
35.888958,-79.070722,1
35.936565,-79.030772,1
35.939777,-79.05497,1
35.933697,-79.028564,1
35.910252,-79.063263,1
35.89961125,-79.0668944,1
35.930094,-79.019736,1
35.906677,-79.02142,1
35.909801,-79.061544,1
35.916568,-79.049783,1
35.895422,-79.058406,1
35.907072,-79.021619,1
35.947649,-79.017035,1
35.914413,-79.05304,1
35.96348416,-79.05755394,1
35.963903,-79.058219,1
35.92512,-79.02499,1
35.907743,-79.026208,1
35.908655,-79.02706,1
35.945544,-79.058678,1
35.926065,-79.143886,1
35.951694,-79.010185,1
35.91364432,-79.05638399,1
35.928643,-79.032053,1
35.94768,-79.059242,1
35.907967,-79.022906,1
35.90795401,-79.023782,1
35.913694,-79.054926,1
35.92505,-79.037575,1
35.911029,-79.065792,1
35.913312,-79.054628,1
35.934088,-79.02305,1
35.926035,-79.030139,1
35.889955,-79.063571,1
35.948863,-79.055233,1
35.926857,-79.030794,1
35.927635,-79.035515,1
35.93632507,-79.02341461,1
35.92757425,-79.03549923,1
35.92695999,-79.05294036,1
35.952707,-79.057579,1
35.896782,-79.053974,1
