Offense,Street,Date of Occurrence,Victim Age,Victim Race,Victim Gender,lat,lon
CRASH INVESTIGATION,1800 E FRANKLIN ST,2023/12/28 16:50,77,W,F,35.93510174,-79.02426815
BELATED CRASH,1718 FORDHAM BLVD,2024/1/13 12:15,,,,35.93644775,-79.02259705
HIT & RUN,106 N ELLIOTT RD,2024/1/17 16:55,30,W,F,35.93782875,-79.02946811
HIT AND RUN,200 S ELLIOTT RD,2024/2/5 16:30,,,,35.93292974,-79.02855532
CRASH INVESTIGATION,708 MARTIN LUTHER KING JR BLVD,2023/12/26 18:54,23,W,M,35.92172535,-79.05406053
HIT AND RUN,201 S ESTES DR,2024/2/3 14:14,35,B,F,35.92776301,-79.02703258
HIT AND RUN,214 N GRAHAM ST,2024/2/4 1:30,53,B,F,35.91230925,-79.06506572
HIT AND RUN,FORDHAM BLVD @ SERVICE RD,2024/2/4 16:50,72,W,F,35.93341999,-79.02388602
CRASH INVESTIGATION,FORDHAM BLVD@MANNING DR,2024/1/9 11:25,67,W,F,35.8985491,-79.03621579
HIT AND RUN,117 OLD DURHAM RD,2024/1/25 18:21,38,B,M,35.94399615,-79.01143738
HIT AND RUN,1 FORDHAM BLVD@SAGE RD,2024/1/6 21:19,,B,M,35.94464139,-79.01266307
CRASH INVESTIGATION,1543 FERRELL RD,2024/1/5 19:38,74,W,M,35.93391449,-79.01232033
CRASH INVESTIGATION,1181 WEAVER DAIRY RD,2024/2/9 9:18,35,W,F,35.96348416,-79.05755394
CRASH INVESTIGATION,1650 E FRANKLIN ST@S ELLIOTT RD,2024/2/9 17:14,74,W,F,35.935031,-79.029434
CRASH INVESTIGATION,MARTIN LUTHER KING JR BLVD@EUBANKS RD,2024/1/19 6:55,43,B,M,35.9688539,-79.06109479
CRASH INVESTIGATION,143 W FRANKLIN ST@CHURCH ST,2024/2/17 18:13,31,W,M,35.91222941,-79.0581245
HIT AND RUN,5639 OLD CHAPEL HILL RD,2024/2/19 7:30,23,W,M,35.94470831,-79.00140527
CRASH INVESTIGATION,300 MEADOWMONT VILLAGE CIR,2024/2/23 10:30,29,W,F,35.90433835,-79.01184717
CRASH INVESTIGATION,201 S ESTES DR,2024/2/13 9:40,24,B,M,35.92776301,-79.02703258
CRASH INVESTIGATION,PARK PLACE DR @ E FRANKLIN ST,2024/3/26 21:20,67,W,F,35.91686758,-79.04369539
BELATED CRASH,1800 E FRANKLIN ST,2024/2/14 16:30,,,,35.93510174,-79.02426815
CRASH INVESTIGATION,150 E FRANKLIN ST,2024/2/8 18:50,,,,35.91326135,-79.05346667
CRASH INVESTIGATION,828 MARTIN LUTHER KING JR BLVD,2024/3/20 16:30,20,A,F,35.92690101,-79.0529309
CRASH INVESTIGATION,1848 MARTIN LUTHER KING JR BLVD,2024/2/14 11:20,36,U,M,35.96737605,-79.05884635
CRASH INVESTIGATION,104 HILLSBOROUGH ST,2024/2/4 2:49,20,W,F,35.91613025,-79.04942537
HIT AND RUN,1415 E FRANKLIN ST@S ESTES DR,2024/3/18 14:10,,A,M,35.92931412,-79.03427706
CRASH INVESTIGATION,1720 FORDHAM BLVD,2024/3/26 11:44,,,,35.93688507,-79.02209589
HIT & RUN,US 15-501 HWY N@E FRANKLIN ST,2014/2/21 18:00,45,B,M,35.92319877,-79.03866832
CRASH INVESTIGATION,S ESTES DR NEAR E FRANKLIN ST,2024/2/12 17:35,43,W,M,35.92319877,-79.03866832
HIT AND RUN,N COLUMBIA ST AT E ROSEMARY ST,2024/3/3 3:18,22,W,M,35.914086,-79.05629598
HIT AND RUN,FORDHAM BLVD@FORDHAM-RALEIGH RD EXIT,2024/3/13 15:05,,B,M,35.91038401,-79.02656898
HIT AND RUN,106 BIG MEADOW PL,2024/2/29 9:30,47,W,F,35.95506865,-79.01811382
HIT AND RUN,427 W FRANKLIN ST,2024/3/7 20:00,22,A,F,35.91051646,-79.06235304
CRASH INVESTIGATION,100 N COLUMBIA ST@E FRANKLIN ST,2024/3/4 15:20,,,,35.913151,-79.05575099
HIT AND RUN,221 S ESTES DR,2024/3/4 19:47,,W,F,35.92579846,-79.02559391
CRASH INVESTIGATION,1098 MARTIN LUTHER KING JR BLVD@PINEY MOUNTAI,2024/3/20 6:50,60,A,M,35.93932098,-79.05692597
CRASH INVESTIGATION,500 UMSTEAD DR,2024/3/12 18:00,24,W,M,35.92463739,-79.06588455
CRASH INVESTIGATION,501 JONES FERRY RD,2024/3/23 1:45,18,W,M,35.9059038,-79.08225801
HIT & RUN,322 W ROSEMARY ST,2024/3/11 8:00,21,W,F,35.9124851,-79.06074108
CRASH INVESTIGATION,133 W FRANKLIN ST,2024/4/16 17:45,19,W,F,35.91247907,-79.0574293
HIT AND RUN,313 SUNSET DR,2024/4/15 10:59,34,W,M,35.9132168,-79.06643817
CRASH INVESTIGATION,828 E FRANKLIN ST,2024/4/15 15:00,,W,F,35.91943503,-79.03872324
CRASH INVESTIGATION,1998 FORDHAM BLVD@E LAKEVIEW DR,2024/3/29 13:50,25,B,F,35.91810948,-79.02612514
CRASH INVESTIGATION,1800 E FRANKLIN ST,2024/4/18 11:45,58,I,F,35.93494198,-79.02427494
CRASH INVESTIGATION,100 LIBRARY DR,2024/3/30 14:00,55,W,M,35.93214016,-79.03572621
CRASH INVESTIGATION,1710 E FRANKLIN ST,2024/3/30 14:40,48,W,M,35.93582338,-79.0268491
CRASH INVESTIGATION,100 EPHESUS CHURCH RD@FORDHAM BLVD,2024/4/1 18:19,80,W,F,35.93624918,-79.02338796
HIT AND RUN,527 COLONY WOODS DR,2024/4/9 14:06,56,W,M,35.93084574,-79.00202157
HIT AND RUN,150 E ROSEMARY ST,2024/5/2 11:30,59,W,F,35.91483991,-79.05421912
HIT AND RUN,101 W FRANKLIN ST,2024/4/12 18:45,,,,35.91273643,-79.05667058
CRASH INVESTIGATION,828 MLK JR BLVD,2024/3/28 16:20,43,B,M,35.92690101,-79.0529309
HIT AND RUN,HAMILTON RD@NC 54,2024/4/13 12:17,46,W,M,35.90795401,-79.023782
CRASH INVESTIGATION,109 W ROSEMARY ST,2024/4/10 19:21,21,W,F,35.91386489,-79.05677233
CRASH INVESTIGATION,DAVIE CIR AT E FRANKLIN ST,2024/4/14 0:57,,,,35.91853298,-79.03965204
CRASH INVESTIGATION,100 WEYER DR@CULBRETH RD,2024/4/5 18:03,,,,35.89257402,-79.070522
CRASH INVESTIGATION,9850 SEAWELL SCHOOL RD@WOODLEAF DR,2024/3/28 20:10,19,W,F,35.93047899,-79.07007701
HIT AND RUN,1748 FORDHAM BLVD,2024/4/15 7:09,69,W,M,35.94116311,-79.01939834
CRASH INVESTIGATION,108 SADDLE RIDGE RD,2024/4/20 9:46,,,,35.95761092,-79.03902709
CRASH INVESTIGATION,157 E ROSEMARY ST,2024/4/14 21:02,30,W,M,35.91501145,-79.05392726
HIT & RUN,133 W FRANKLIN ST,2024/4/29 15:32,21,W,F,35.91247907,-79.0574293
CRASH INVESTIGATION,101 E FRANKLIN ST,2024/4/24 15:31,,,,35.91322757,-79.05562166
HIT AND RUN,500 UMSTEAD DR,2024/4/25 7:27,35,W,M,35.9227404,-79.06626073
CRASH INVESTIGATION,425 HILLSBOROUGH ST,2024/5/12 14:54,,,,35.92028534,-79.05238801
HIT AND RUN,229 ASHLEY FOREST RD,2024/5/12 20:26,59,W,F,35.94478967,-79.05578637
CRASH INVESTIGATION,96 SAGE RD@FORDHAM BLVD,2024/6/14 12:04,,W,F,35.94477232,-79.0127157
HIT & RUN,100 MARRIOTT WAY,2024/6/15 21:46,49,W,F,35.90098463,-79.00986577
CRASH INVESTIGATION,FORDHAM BLVD AT E FRANKLIN ST,2024/5/20 8:56,48,W,M,35.9348989,-79.02390672
HIT & RUN,100 N COLUMBIA ST@E FRANKLIN ST,2024/5/22 10:44,24,B,F,35.913151,-79.05575099
HIT AND RUN,1129 WEAVER DAIRY RD,2024/5/23 13:38,30,W,F,35.96329716,-79.05446974
HIT AND RUN,602 MARTIN LUTHER KING JR BLVD,2024/5/23 16:58,23,W,F,35.91913128,-79.05387127
HIT AND RUN,364 SUMMERWALK CIR,2024/5/23 19:12,25,W,M,35.89676392,-79.00891334
CRASH INVESTIGATION,619 E FRANKLIN ST,2024/5/26 19:47,,,,35.91719418,-79.04467741
CRASH INVESTIGATION,ESTES DR AT CASWELL RD,2024/6/8 15:20,42,B,M,35.93517701,-79.04787402
CRASH INVESTIGATION,103 E FRANKLIN ST,2024/5/25 3:04,20,W,M,35.91325582,-79.0555443
CRASH INVESTIGATION,S COLUMBIA ST & VALENTINE LN,2024/5/31 3:37,,,,35.90071498,-79.05791302
CRASH INVESTIGATION,1500 E FRANKLIN ST,2024/6/1 17:06,34,B,F,35.92953582,-79.03408319
CRASH INVESTIGATION,310 W FRANKLIN ST,2024/6/6 19:47,,A,M,35.91135803,-79.06044461
CRASH INVESTIGATION,9201 SEAWELL SCHOOL RD,2024/6/10 21:52,,W,F,35.94169834,-79.07631951
CRASH INVESTIGATION,1800 E FRANKLIN ST,2024/6/11 21:16,,B,M,35.93494198,-79.02427494
HIT AND RUN,106 S ESTES DR,2024/5/11 14:27,49,A,M,35.92834086,-79.03297904
HIT AND RUN,330 W FRANKLIN ST@KENAN ST,2024/6/6 9:55,21,W,M,35.91129001,-79.06054402
CRASH INVESTIGATION,FORDHAM BLVD @ OLD MASON FARM RD,2024/5/11 21:19,20,W,F,35.90147929,-79.03286789
HIT AND RUN,700 MARTIN LUTHER KING JR BLVD@BOLIN HEIGHTS,2024/5/17 9:18,25,W,M,35.922973,-79.05505597
CRASH INVESTIGATION,150 E ROSEMARY ST,2024/5/13 15:09,,,,35.91483991,-79.05421912
HIT AND RUN,799 HILLSBOROUGH ST@MARTIN LUTHER KING JR BL,2024/5/13 12:43,36,W,M,35.9201387,-79.05606506
HIT AND RUN,3140 ENVIRON WAY,2024/6/17 13:36,,,,35.90661232,-79.0221404
HIT & RUN,150 E ROSEMARY ST,2024/6/25 14:35,24,B,F,35.91483991,-79.05421912
BELATED CRASH REPORT,828 MARTIN LUTHER KING JR BLVD,2024/7/10 9:00,,,,35.92695999,-79.05294037
DAMAGE TO PROPERTY VEH HIT AND RUN,618 WEAVER DAIRY RD,2024/9/11 17:10,,,,35.96213913,-79.03437805
HIT AND RUN,205 SAGE RD,2024/8/20 15:00,34,W,F,35.9487381,-79.01457214
HIT & RUN (NO SUSPECT INFO),700 MARTIN LUTHER KING JR BLVD,2024/11/19 11:30,62,W,M,35.92075348,-79.05558014
INFORMATION ON BELATED CRASH,101 VILLAGE CENTER DR,2024/7/17 12:15,29,W,M,35.96995544,-79.06454468
HIT AND RUN,100 E ROSEMARY ST,2024/9/17 19:37,27,B,M,35.91402817,-79.05571747
HIT AND RUN,960 WEAVER DAIRY RD,2024/9/25 16:40,,,,35.96421051,-79.04919434
HIT AND RUN,409 W FRANKLIN ST,2024/11/30 19:05,70,W,F,35.91086578,-79.06116486
HIT AND RUN,S COLUMBIA ST/W CAMERON AVE,2024/7/29 12:25,27,W,F,35.91075516,-79.0544281
HIT AND RUN INVESTIGATION,100 E ROSEMARY ST/N COLUMBIA ST,2024/10/31 20:50,,,,35.91412735,-79.05625916
PEDESTRIAN HIT AND RUN,100 MALLETTE ST/W FRANKLIN ST,2024/11/16 19:06,27,W,M,35.91176605,-79.05953217
