Offense,Street,Date of Occurrence,Victim Age,Victim Race,Victim Gender,lat,lon
CRASH INVESTIGATION,111 BASNIGHT LN,2018/7/12 9:00,67,W,F,35.909801,-79.061544
CRASH INVESTIGATION,750 MARTIN LUTHER KING JR BLVD,2018/6/30 12:20,26,W,M,35.924377,-79.054299
HIT AND RUN ACCIDENT,828 W ROSEMARY ST AND N COLUMBIA ST,2018/7/31 11:15,71,W,M,35.914068,-79.056292
HIT AND RUN,1098 MARTIN LUTHER KING JR BLVD/PINEY MOUNTAI,2018/7/26 9:00,55,W,F,35.939306,-79.056866
HIT AND RUN ACCIDENT,630 WEAVER DAIRY RD,2018/8/18 9:48,27,W,M,35.961822,-79.034719
CRASH INVESTIGATION,828 US15-501 ,2018/7/14 16:15,45,W,M,35.893716,-79.057488
HIT AND RUN INVESTIGATION,980 MARTIN LUTHER KING JR BLVD,2018/7/24 9:15,68,W,F,35.934083,-79.055815
HIT AND RUN INVESTIGATION,500 UMSTEAD DR,2018/7/28 6:44,54,A,M,35.922674,-79.065896
HIT AND RUN INVESTIGATION,100 MALLETTE ST,2018/8/30 17:35,<Null>,<Null>,<Null>,35.91171,-79.059527
BELATED CRASH REPORT,828 HILLSBOROUGH ST ,2018/8/27 21:15,<Null>,<Null>,<Null>,35.925123,-79.054044
HIT AND RUN,101 S COLUMBIA ST/E FRANKLIN ST,2018/9/17 18:00,<Null>,<Null>,<Null>,35.913166,-79.055707
HIT AND RUN INVESTIGATION,204 FINLEY FOREST DR,2018/8/24 23:57,33,A,F,35.89894,-79.010195
HIT AND RUN,1670 MARTIN LUTHER KING JR BLVD,2018/9/19 9:15,34,W,F,35.961779,-79.057508
HIT AND RUN,133 W FRANKLIN ST,2018/9/2 18:26,29,I,M,35.912419,-79.057582
HIT & RUN,1832 FORDHAM BLVD/E FRANKLIN ST,2018/9/24 14:30,<Null>,<Null>,<Null>,35.937415,-79.025157
HIT AND RUN,333 W ROSEMARY ST,2018/10/2 12:20,49,W,M,35.912019,-79.061541
CRASH INVESTIGATION,133 W FRANKLIN ST,2018/10/26 20:00,22,W,F,35.912419,-79.057582
HIT AND RUN,EASTOWNE DR/FORDHAM BLVD,2018/10/4 19:30,<Null>,<Null>,<Null>,35.94928,-79.002705
HIT AND RUN,502 W FRANKLIN ST,2018/10/25 12:00,20,W,F,35.910251,-79.063347
HIT AND RUN INVESTIGATION,VILLAGE DR@RIDGE TRL,2018/11/17 13:41,57,B,M,35.920593,-79.067844
HIT & RUN,123 W FRANKLIN ST,2018/11/16 17:00,<Null>,<Null>,<Null>,35.912626,-79.057048
HIT & RUN INVESTIGATION,101 CONNER DR,2018/11/13 6:45,62,W,F,35.929289,-79.0291
HIT AND RUN,81 S ELLIOTT RD,2018/10/27 9:30,<Null>,<Null>,M,35.934174,-79.028372
ASSIST OTHER AGENCY ON CRASH,199 COUNTRY CLUB RD/SOUTH RD,2018/10/15 2:19,28,W,M,35.910931,-79.041689
HIT & RUN ACCIDENT,RALEIGH RD@FORDHAM-RALEIGH RD EXIT,2018/10/31 6:20,<Null>,<Null>,<Null>,35.908677,-79.027128
HIT AND RUN INVESTIGATION,150 E ROSEMARY ST,2018/10/3 16:30,49,W,M,35.914856,-79.054195
HIT AND RUN,107 LONEBROOK DR,2018/11/13 23:05,37,W,F,35.962117,-79.062474
HIT AND RUN INVESTIGATION,801 E BARBEE CHAPEL RD,2018/11/20 8:35,49,A,M,35.904875,-79.006827
CRASH INVESTIGATION,213 W FRANKLIN ST,2018/10/31 14:36,66,B,F,35.911777,-79.059247
HIT AND RUN,702 MARTIN LUTHER KING JR BLVD,2018/10/13 1:00,59,A,M,35.921191,-79.055761
HIT AND RUN,W ROSEMARY ST/N COLUMBIA ST,2018/11/12 20:20,27,W,M,35.91403,-79.056342
HIT AND RUN INVESTIGATION,712 MARTIN LUTHER KING JR BLVD,2018/12/6 8:00,22,W,M,35.92172,-79.055099
HIT AND RUN,1743 LEGION RD,2019/2/9 20:00,27,B,M,35.942746,-79.012073
HIT & RUN,602 MARTIN LUTHER KING JR BLVD,2019/2/21 12:15,22,W,F,35.917974,-79.053023
HIT&RUN,RALEIGH RD@ E BARBEE CHAPEL RD,2019/2/20 18:01,35,B,M,35.901828,-79.007292
HIT & RUN,302 MCMASTERS ST,2019/1/21 13:10,20,W,F,35.918758,-79.062324
HIT AND RUN INVESTIGATION,109 KENAN ST,2019/1/26 23:00,21,W,M,35.910694,-79.059891
HIT AND RUN,225 CULBRETH RD,2019/3/1 13:30,55,B,F,35.890215,-79.067316
HIT & RUN,201 S ELLIOTT RD,2019/1/23 16:08,35,A,F,35.933266,-79.027872
HIT & RUN,W FRANKLIN ST@N COLUMBIA ST,2019/1/28 17:46,<Null>,<Null>,<Null>,35.913159,-79.055779
HIT AND RUN INVESTIGATION,450 W FRANKLIN ST,2019/1/29 23:00,<Null>,<Null>,<Null>,35.910859,-79.062483
HIT AND RUN,316 W ROSEMARY ST,2019/2/6 9:15,20,W,F,35.912861,-79.060443
HIT AND RUN,100 E ROSEMARY ST,2019/3/31 2:13,23,B,M,35.91396,-79.055708
HIT AND RUN,100 CEDAR CLUB CIR,2019/3/31 13:30,69,W,M,35.906614,-79.005608
HIT AND RUN,220 ELIZABETH ST,2019/4/12 20:30,32,W,F,35.925646,-79.041987
BELATED CRASH REPORT,211 SHORT ST,2019/4/14 21:00,<Null>,<Null>,<Null>,35.913905,-79.058923
HIT AND RUN INVESTIGATION,FORDHAM BLVD@S ESTES DR,2019/3/14 13:59,<Null>,<Null>,<Null>,35.92503,-79.024811
BELATED CRASH,801 W BARBEE CHAPEL RD,2019/4/15 9:30,38,B,F,35.905363,-79.01522
HIT AND RUN,1860 MARTIN LUTHER KING JR BLVD,2019/4/26 17:50,<Null>,W,M,35.966599,-79.058787
HIT AND RUN INVESTIGATION,222 JAY ST,2019/4/3 14:10,22,W,M,35.919077,-79.066829
HIT & RUN,501 MEADOWMONT VILLAGE CIR,2019/4/30 13:21,<Null>,<Null>,<Null>,35.905277,-79.010705
HIT & RUN,104 MEADOWMONT VILLAGE CIR,2019/6/18 10:15,55,W,F,35.904632,-79.010444
HIT AND RUN,110 HILLSPRING LN,2019/5/11 13:29,60,W,M,35.888958,-79.070722
HIT AND RUN,114 MELVILLE LOOP,2019/5/14 19:52,26,A,F,35.947649,-79.017035
HIT AND RUN,602 MARTIN LUTHER KING JR BLVD,2019/5/3 17:30,21,<Null>,M,35.917974,-79.053023
HIT AND RUN,1505 E FRANKLIN ST,2019/6/13 8:45,70,W,F,35.930495,-79.034439
HIT & RUN,S ESTES DR@FORDHAM BLVD,2019/6/5 17:56,<Null>,<Null>,<Null>,35.92503,-79.024811
BELATED CRASH,120 NORTH ST,2019/5/28 9:30,20,W,F,35.915458,-79.055214
HIT AND RUN,HOMESTEAD RD@MARTIN LUTHER KING JR BLVD,2019/6/26 13:45,34,W,M,35.949519,-79.058372
HIT N RUN,MARTIN LUTHER KING JR BLVD@WEAVER DAIRY RD X,2019/7/16 13:25,74,W,F,35.963982,-79.058488
HIT AND RUN,100 N COLUMBIA ST,2019/6/26 8:42,26,W,M,35.912637,-79.056089
HIT AND RUN,214 W ROSEMARY ST,2019/8/12 8:11,25,W,M,35.913469,-79.058343
HIT SIGN IN MIDDLE OF ROAD,330 PUREFOY RD,2019/7/23 21:10,<Null>,<Null>,<Null>,35.895762,-79.057733
BELATED CRASH REPORT,1800 E FRANKLIN ST,2019/6/30 19:22,<Null>,<Null>,<Null>,35.935902,-79.02657
HIT AND RUN,711 VILLAGE CROSSING DR,2019/7/24 13:24,28,B,M,35.902822,-79.007277
INFORMATION REGARDING BELATED CRASH REPORT,257 S ELLIOTT RD,2019/7/17 10:40,65,W,F,35.932882,-79.025815
HIT AND RUN,104 W ROSEMARY ST,2019/7/1 17:00,<Null>,<Null>,<Null>,35.914098,-79.05643
DEATH INVESTIGATION- CRASH,W FRANKLIN ST @ MALLETTE ST,2019/9/29 14:35,18,W,M,35.91171,-79.059528
HIT N RUN,1800 MARTIN LUTHER KING JR BLVD,2019/8/21 12:50,79,W,M,35.968226,-79.058647
HIT N RUN,RALEIGH RD@FINLEY GOLF COURSE RD,2019/8/22 14:34,75,W,F,35.906238,-79.018952
HIT AND RUN,310 W FRANKLIN ST,2019/9/9 11:45,50,W,M,35.911872,-79.060716
HIT AND RUN,1720 FORDHAM BLVD,2019/10/1 17:15,42,W,M,35.937426,-79.022891
